index,value,hash,triple,validated_at,validated_hash
7918,abc7918,feb714940e4bec85b85e1ae582fb0001,0,8735,33700000d206321cabda144e627f9c58
7937,abc7937,9c62f9cddf7000fc82243fe63f633397,0,8735,33700000d206321cabda144e627f9c58
8042,abc8042,a508b217c92312d6a111af6253bff7bb,1,8811,c3d313e7a72ea2111114dd4963979596
8045,abc8045,1611103e70484e441e006f1bfb2b3374,1,8811,c3d313e7a72ea2111114dd4963979596
8183,abc8183,eda733b036c18c11134f8c60faacafc9,1,8811,c3d313e7a72ea2111114dd4963979596
8189,abc8189,cc1111a7b059f0326fe4d4fc96fb50d3,1,8811,c3d313e7a72ea2111114dd4963979596
8205,abc8205,3dbee9bccf49a50000346e221d54bb93,0,8735,33700000d206321cabda144e627f9c58
8232,abc8232,f611148c30ba768ee1be17cccb00acda,1,8811,c3d313e7a72ea2111114dd4963979596
8375,abc8375,f11113032a16c4dfefcaa1d3eb43357c,1,8811,c3d313e7a72ea2111114dd4963979596
8407,abc8407,66c6c08de62ab7000533b6b6450cf1f0,0,8735,33700000d206321cabda144e627f9c58
8431,abc8431,b91baf5000515c05cd2300a88abe7e6e,0,8735,33700000d206321cabda144e627f9c58
8503,abc8503,0a09e8a057d6912b5cd26d86000171f1,0,8735,33700000d206321cabda144e627f9c58
8517,abc8517,5bb71493cb844593059c9385af111498,1,8811,c3d313e7a72ea2111114dd4963979596
8626,abc8626,1d000dd00e3653c29e0fa801d35de7b4,0,8735,33700000d206321cabda144e627f9c58
8672,abc8672,0a164547f03ee46ece5f2c2e15580007,0,8735,33700000d206321cabda144e627f9c58
8730,abc8730,5d4e1288f07a53bd6ad1a8000bca06eb,0,8735,33700000d206321cabda144e627f9c58
8811,abc8811,c3d313e7a72ea2111114dd4963979596,1,9562,b5dd0c7468236111114393c27c5240a0
9497,abc9497,2edf9fa11161b0286de6f62ee44e8e4d,1,9562,b5dd0c7468236111114393c27c5240a0
9536,abc9536,7253e53e81115f72f6540cae6a2a5e59,1,9562,b5dd0c7468236111114393c27c5240a0
13268,abc13268,bbbe024fb60e070c922a3c9dd81454c6,b,13886,72cac2742bbbbbe00b99a814c73ff80e
13439,abc13439,bbbef7b3f98b65e148ae2a617786a11f,b,13886,72cac2742bbbbbe00b99a814c73ff80e
13479,abc13479,2581d6a23925ef5f6c55241c821abbb3,b,13886,72cac2742bbbbbe00b99a814c73ff80e
13560,abc13560,24826802dd3d78327eac3b7b02bbbf29,b,13886,72cac2742bbbbbe00b99a814c73ff80e
13663,abc13663,c8e73ad52e71b460b2a2bebbb6efa8a8,b,13886,72cac2742bbbbbe00b99a814c73ff80e
15758,abc15758,db94f13a807206bca93ea732ed877789,7,16672,614079777771bb3be988406f8f346f83
15883,abc15883,8a77735462adb00c441a99571e351b7b,7,16672,614079777771bb3be988406f8f346f83
16187,abc16187,a0872401e67ee77722ba756ba03cea2f,7,16672,614079777771bb3be988406f8f346f83
16342,abc16342,561ad5b016b7771247e33564ffc3d7b2,7,16672,614079777771bb3be988406f8f346f83
16479,abc16479,54a71b5c827b7bf88b67776339e1568d,7,16672,614079777771bb3be988406f8f346f83
20087,abc20087,2663ce2f67f5d4e35aab8aaa84da292f,a,20994,4a31aaaaad6e0a6dc6c5911f2fef2321
20371,abc20371,714981a50246c55aaa14bc8baff48cf6,a,20994,4a31aaaaad6e0a6dc6c5911f2fef2321
20582,abc20582,3946e417e23aaabb3735a4551718ffff,a,20994,4a31aaaaad6e0a6dc6c5911f2fef2321
20635,abc20635,67e1d093a6cfe1ea8b40173aaad64273,a,20994,4a31aaaaad6e0a6dc6c5911f2fef2321
20669,abc20669,1f7eb500d1f09b3569a762ee5c8aaacd,a,20994,4a31aaaaad6e0a6dc6c5911f2fef2321
21908,abc21908,bf0d82c707319dd1934556e2914ccc9a,c,22804,1e15d83ba7591b79ccccc2e9a22f78b8
21927,abc21927,74e0ccc5c8b7336be72d7dc1b9b36486,c,22804,1e15d83ba7591b79ccccc2e9a22f78b8
21978,abc21978,3b1b8edb73ccc4cf49841d7e19b955d3,c,22804,1e15d83ba7591b79ccccc2e9a22f78b8
22023,abc22023,705825e1986ccc196166f9d9d29c16bd,c,22804,1e15d83ba7591b79ccccc2e9a22f78b8
22193,abc22193,00ee429b6acccdab81a4b6f2cd9ea278,c,22804,1e15d83ba7591b79ccccc2e9a22f78b8
22728,abc22728,26ccc731a8706e0c4f979aeb341871f0,c,22804,1e15d83ba7591b79ccccc2e9a22f78b8
