index,value,hash,triple,validated_at,validated_hash
13519,yjdafjpo13519,da1a12f8cbf8006cc6b98777dbca78f1,7,13539,c9b210c780927777793085ba27f47e96
16945,yjdafjpo16945,ba92fbd8885381dfab116c03bdd31764,8,17513,693fe70213ac88888f8c22aaf4833d2e
17072,yjdafjpo17072,ab2d15a208880a60ebf9a8e7b7493aec,8,17513,693fe70213ac88888f8c22aaf4833d2e
17112,yjdafjpo17112,e73047b38ffbbf8e02d2bcb55888c91b,8,17513,693fe70213ac88888f8c22aaf4833d2e
17316,yjdafjpo17316,b7bb39f4959383d6ed64d888af2a5355,8,17513,693fe70213ac88888f8c22aaf4833d2e
17721,yjdafjpo17721,36de749e5d5860dddd6bf51e505c3b65,d,18096,0dddddf77ed0db6a9a00431ea60f9a94
17725,yjdafjpo17725,a5bd39a7adddad25f02b004308aaa56d,d,18096,0dddddf77ed0db6a9a00431ea60f9a94
17793,yjdafjpo17793,c606e099d8eb5dddd09a777c22107856,d,18096,0dddddf77ed0db6a9a00431ea60f9a94
17813,yjdafjpo17813,5730849d781d3ddde1ac162fc23c3a58,d,18096,0dddddf77ed0db6a9a00431ea60f9a94
17833,yjdafjpo17833,98df92113badd27e58ddd04776d3413a,d,18096,0dddddf77ed0db6a9a00431ea60f9a94
21631,yjdafjpo21631,082f5300a3a22d55b33397e99be4bcd3,3,22561,5549e676896d87e83333383f6275ac7a
21641,yjdafjpo21641,2b3dc7b6684f333d171f48aae019c590,3,22561,5549e676896d87e83333383f6275ac7a
21805,yjdafjpo21805,09efbec15eb333fbbf4500e458b9bb25,3,22561,5549e676896d87e83333383f6275ac7a
21963,yjdafjpo21963,b1f8612695a476e9213373b40527a333,3,22561,5549e676896d87e83333383f6275ac7a
22235,yjdafjpo22235,297d1eb469e92b086e8cbbe9333909ab,3,22561,5549e676896d87e83333383f6275ac7a
22442,yjdafjpo22442,b1b2cab6447e31a3564d6633371a3199,3,22561,5549e676896d87e83333383f6275ac7a
22546,yjdafjpo22546,99f702152a95a71092db39b74333eb03,3,22561,5549e676896d87e83333383f6275ac7a
24182,yjdafjpo24182,4f2c5b2ffd961c49d315e614222838b8,2,25125,19a494a1c6380868d8722222f8a29f73
24367,yjdafjpo24367,74f5a4196534ec2a29634b3948022230,2,25125,19a494a1c6380868d8722222f8a29f73
24474,yjdafjpo24474,7c5bfcbdbaca222ae901c9164501b4a4,2,25125,19a494a1c6380868d8722222f8a29f73
24672,yjdafjpo24672,be476437c2223716e748dd1b120ce9f4,2,25125,19a494a1c6380868d8722222f8a29f73
24725,yjdafjpo24725,43e057d23a79a0ea292b8b46a1b8c222,2,25125,19a494a1c6380868d8722222f8a29f73
24832,yjdafjpo24832,729fa7a1f58818a07ddd3778c28f3339,d,25531,72aaba7c6aba71dddddfc716fea3d877
24844,yjdafjpo24844,896c885eb10e62f9d22041f47a4ddd28,d,25531,72aaba7c6aba71dddddfc716fea3d877
24942,yjdafjpo24942,22266ae3941634d84253d8e5b516e69a,2,25125,19a494a1c6380868d8722222f8a29f73
25188,yjdafjpo25188,25f3880db22af9fdddc844f8709cd421,d,25531,72aaba7c6aba71dddddfc716fea3d877
25195,yjdafjpo25195,44faf7ddd8dde375c5973b4d43f38b20,d,25531,72aaba7c6aba71dddddfc716fea3d877
25263,yjdafjpo25263,75c4af159dddd1972cb96f395b5a776c,d,25531,72aaba7c6aba71dddddfc716fea3d877
25284,yjdafjpo25284,bd5eeddd4d9acec8b75d35dd758db6a5,d,25531,72aaba7c6aba71dddddfc716fea3d877
25327,yjdafjpo25327,eddd19b11df33f4cb77dbc6b2d4dd73b,d,25531,72aaba7c6aba71dddddfc716fea3d877
25427,yjdafjpo25427,d95b61890f0df9add71f1427ddd7bf54,d,25531,72aaba7c6aba71dddddfc716fea3d877
